11月11日11時36分	青 決勝
シーツ補正X lidar(3784,1769),-16	G(-3715,6440),N(-3699,6444)	RS(0,0)
シーツ補正X lidar(3782,1769),-18	G(-3717,6440),N(-3699,6444)	RS(0,0)
シーツ補正X lidar(3782,1769),-18	G(-3717,6440),N(-3699,6444)	RS(0,0)
シーツ補正X lidar(3792,1765),-8	G(-3707,6440),N(-3699,6444)	RS(0,0)
シーツ補正X lidar(3792,1765),-8	G(-3708,6440),N(-3700,6444)	RS(0,0)
シーツ補正X lidar(3792,1765),-8	G(-3709,6440),N(-3701,6444)	RS(0,0)
シーツ補正X lidar(3791,1767),-9	G(-3710,6440),N(-3701,6443)	RS(0,0)
シーツ補正X lidar(3791,1767),-9	G(-3710,6440),N(-3701,6443)	RS(0,0)
シーツ補正X lidar(3795,1766),-5	G(-3706,6440),N(-3701,6443)	RS(0,0)
シーツ補正X lidar(3795,1766),-5	G(-3706,6440),N(-3701,6443)	RS(0,0)
シーツ補正X lidar(3798,1769),-2	G(-3703,6440),N(-3701,6443)	RS(0,0)
シーツ補正X lidar(3798,1769),-2	G(-3703,6440),N(-3701,6443)	RS(0,0)
シーツ補正X lidar(3794,1768),-6	G(-3707,6440),N(-3701,6443)	RS(0,0)
シーツ補正X lidar(3794,1768),-6	G(-3707,6440),N(-3701,6443)	RS(0,0)
シーツ補正X lidar(3794,1768),-6	G(-3707,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3791,1765),-9	G(-3710,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3791,1765),-9	G(-3710,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3792,1767),-8	G(-3709,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3792,1767),-8	G(-3709,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3793,1763),-7	G(-3708,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3793,1763),-7	G(-3708,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3791,1766),-9	G(-3710,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3791,1766),-9	G(-3710,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3791,1766),-9	G(-3710,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3795,1766),-5	G(-3706,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3795,1766),-5	G(-3706,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3789,1768),-11	G(-3712,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3789,1768),-11	G(-3712,6440),N(-3701,6442)	RS(0,0)
シーツ補正X lidar(3799,1758),-1	G(-3702,6440),N(-3701,6442)	RS(0,0)
