10月28日19時4分	青 予選
10月28日19時4分	青 予選
シーツ補正Y lidar(3940,1701),281	G(-3885,6837),N(-3884,6556)	RS(1012,2358)
シーツ補正X RS_X:1012,-4 Y:2358	G(-3885,6837),N(-3886,6560)	lidar(3968,1686)
シーツ補正Y lidar(3968,1686),266	G(-3885,6826),N(-3886,6560)	RS(1012,2358)
シーツ補正X RS_X:1024,5 Y:2340	G(-3881,6826),N(-3889,6567)	lidar(3968,1686)
シーツ補正Y lidar(3968,1686),266	G(-3881,6833),N(-3889,6567)	RS(1024,2340)
シーツ補正X RS_X:1034,13 Y:2330	G(-3875,6833),N(-3890,6570)	lidar(3989,1665)
シーツ補正Y lidar(3989,1665),245	G(-3875,6815),N(-3890,6570)	RS(1034,2330)
シーツ補正X RS_X:1034,13 Y:2330	G(-3875,6815),N(-3891,6574)	lidar(3989,1665)
シーツ補正Y lidar(3989,1665),245	G(-3875,6819),N(-3891,6574)	RS(1034,2330)
シーツ補正X RS_X:1036,14 Y:2314	G(-3876,6819),N(-3892,6578)	lidar(3976,1665)
シーツ補正Y lidar(3976,1665),245	G(-3876,6823),N(-3892,6578)	RS(1036,2314)
シーツ補正X RS_X:1045,21 Y:2315	G(-3871,6823),N(-3893,6585)	lidar(3976,1665)
シーツ補正Y lidar(3976,1665),245	G(-3871,6830),N(-3893,6585)	RS(1045,2315)
シーツ補正X RS_X:1045,21 Y:2315	G(-3871,6830),N(-3893,6588)	lidar(3965,1657)
シーツ補正Y lidar(3965,1657),237	G(-3871,6825),N(-3893,6588)	RS(1045,2315)
シーツ補正X RS_X:1045,21 Y:2300	G(-3871,6825),N(-3892,6591)	lidar(3965,1657)
シーツ補正Y lidar(3965,1657),237	G(-3871,6828),N(-3892,6591)	RS(1045,2300)
シーツ補正X RS_X:1042,19 Y:2288	G(-3871,6828),N(-3891,6595)	lidar(3965,1657)
シーツ補正Y lidar(3965,1657),237	G(-3871,6832),N(-3891,6595)	RS(1042,2288)
シーツ補正X RS_X:1042,19 Y:2288	G(-3871,6832),N(-3888,6603)	lidar(3961,1645)
シーツ補正Y lidar(3961,1645),225	G(-3871,6828),N(-3888,6603)	RS(1042,2288)
