10月21日21時0分	赤 予選
10月21日21時0分	赤 予選
バスタオル1補正Y lidar(2869,2948),18	G(1686,5239),N(1844,5221)	RS(0,0)
バスタオル1補正X 無し lidar(2869,2948),-148	G(1686,5239),N(1837,5224)	RS(0,0)	12
バスタオル1補正Y lidar(2869,2948),18	G(1686,5242),N(1837,5224)	RS(0,0)
バスタオル1補正X 無し lidar(2869,2948),-148	G(1686,5242),N(1827,5231)	RS(0,0)	12
バスタオル1補正Y lidar(2869,2948),18	G(1686,5249),N(1827,5231)	RS(0,0)
バスタオル1補正X 無し lidar(2467,2947),-148	G(1686,5249),N(1816,5240)	RS(0,0)	12
バスタオル1補正Y lidar(2467,2947),17	G(1686,5257),N(1816,5240)	RS(0,0)
バスタオル1補正X 無し lidar(2467,2947),-148	G(1686,5257),N(1803,5246)	RS(0,0)	12
バスタオル1補正Y lidar(2467,2947),17	G(1686,5263),N(1803,5246)	RS(0,0)
バスタオル1補正X 無し lidar(1866,2937),-148	G(1686,5263),N(1789,5254)	RS(0,0)	12
RS無視 RS_Y:0,0,0 X:0	lidar_y:2937,7
バスタオル1補正X 無し lidar(1866,2937),-148	G(1686,5200),N(1782,5256)	RS(0,0)	12
RS無視 RS_Y:0,0,0 X:0	lidar_y:2937,7
バスタオル1補正X 無し lidar(1866,2937),-148	G(1686,5200),N(1768,5262)	RS(0,0)	12
RS無視 RS_Y:0,0,0 X:0	lidar_y:2937,7
バスタオル1補正X 無し lidar(1899,2925),-148	G(1686,5200),N(1752,5265)	RS(0,0)	12
バスタオル1補正Y lidar(1899,2925),-5	G(1686,5260),N(1752,5265)	RS(0,0)
バスタオル1補正X 無し lidar(1899,2925),-148	G(1686,5260),N(1737,5269)	RS(0,0)	12
バスタオル1補正Y lidar(1899,2925),-5	G(1686,5264),N(1737,5269)	RS(0,0)
バスタオル1補正X 無し lidar(2231,2913),-148	G(1950,5264),N(1721,5271)	RS(0,0)	13
バスタオル1補正Y lidar(2231,2913),-17	G(1950,5254),N(1721,5271)	RS(0,0)
バスタオル1補正X 無し lidar(2231,2913),431	G(1950,5254),N(1705,5272)	RS(0,0)	13
バスタオル1補正Y lidar(2231,2913),-17	G(1950,5255),N(1705,5272)	RS(0,0)
バスタオル1補正X フェンス lidar(3018,2903),158	G(1849,5255),N(1691,5272)	RS(0,0)	13
バスタオル1補正Y lidar(3018,2903),-27	G(1849,5245),N(1691,5272)	RS(0,0)
バスタオル1補正X フェンス lidar(3018,2903),158	G(1836,5245),N(1678,5272)	RS(0,0)	13
バスタオル1補正Y lidar(3018,2903),-27	G(1836,5245),N(1678,5272)	RS(0,0)
バスタオル1補正X フェンス lidar(3018,2903),158	G(1830,5245),N(1672,5271)	RS(0,0)	13
バスタオル1補正Y lidar(3018,2903),-27	G(1830,5244),N(1672,5271)	RS(0,0)
バスタオル1補正X フェンス lidar(3056,2909),196	G(1857,5244),N(1661,5268)	RS(0,0)	13
バスタオル1補正Y lidar(3056,2909),-21	G(1857,5247),N(1661,5268)	RS(0,0)
バスタオル1補正X フェンス lidar(3056,2909),196	G(1849,5247),N(1653,5265)	RS(0,0)	13
バスタオル1補正Y lidar(3056,2909),-21	G(1849,5244),N(1653,5265)	RS(0,0)
バスタオル1補正X 無し lidar(3080,2920),1280	G(1849,5244),N(1647,5261)	RS(0,0)	13
バスタオル1補正Y lidar(3080,2920),-10	G(1849,5251),N(1647,5261)	RS(0,0)
バスタオル1補正X 無し lidar(3080,2920),1280	G(1849,5251),N(1643,5256)	RS(0,0)	13
バスタオル1補正Y lidar(3080,2920),-10	G(1849,5246),N(1643,5256)	RS(0,0)
バスタオル1補正X 無し lidar(3094,2928),1294	G(1849,5246),N(1640,5254)	RS(0,0)	13
バスタオル1補正Y lidar(3094,2928),-2	G(1849,5252),N(1640,5254)	RS(0,0)
バスタオル1補正X 無し lidar(3094,2928),1294	G(1849,5252),N(1638,5252)	RS(0,0)	13
バスタオル1補正Y lidar(3094,2928),-2	G(1849,5250),N(1638,5252)	RS(0,0)
バスタオル1補正X 無し lidar(3094,2928),1294	G(1849,5250),N(1637,5251)	RS(0,0)	13
バスタオル1補正Y lidar(3094,2928),-2	G(1849,5249),N(1637,5251)	RS(0,0)
バスタオル1補正X 無し lidar(3097,2931),1297	G(1849,5249),N(1637,5251)	RS(0,0)	13
バスタオル1補正Y lidar(3097,2931),1	G(1849,5252),N(1637,5251)	RS(0,0)
バスタオル1補正X 無し lidar(3097,2931),1297	G(1849,5252),N(1637,5252)	RS(0,0)	13
バスタオル1補正Y lidar(3097,2931),1	G(1849,5253),N(1637,5252)	RS(0,0)
バスタオル1補正X 無し lidar(3096,2934),1296	G(1849,5253),N(1638,5252)	RS(0,0)	13
バスタオル1補正Y lidar(3096,2934),4	G(1849,5256),N(1638,5252)	RS(0,0)
バスタオル1補正X 無し lidar(3096,2934),1296	G(1849,5256),N(1638,5254)	RS(0,0)	13
バスタオル1補正Y lidar(3096,2934),4	G(1849,5258),N(1638,5254)	RS(0,0)
バスタオル1補正X 無し lidar(3096,2934),1296	G(1849,5258),N(1640,5255)	RS(0,0)	13
バスタオル1補正Y lidar(3096,2934),4	G(1849,5259),N(1640,5255)	RS(0,0)
バスタオル1補正X 無し lidar(3093,2928),1293	G(1849,5259),N(1642,5257)	RS(0,0)	13
バスタオル1補正Y lidar(3093,2928),-2	G(1849,5255),N(1642,5257)	RS(0,0)
バスタオル1補正X 無し lidar(3093,2928),1293	G(1849,5255),N(1643,5258)	RS(0,0)	13
バスタオル1補正Y lidar(3093,2928),-2	G(1849,5256),N(1643,5258)	RS(0,0)
バスタオル1補正X 無し lidar(3085,2928),1285	G(1849,5256),N(1646,5260)	RS(0,0)	13
バスタオル1補正Y lidar(3085,2928),-2	G(1849,5258),N(1646,5260)	RS(0,0)
バスタオル1補正X 無し lidar(3085,2928),1285	G(1849,5258),N(1649,5262)	RS(0,0)	13
バスタオル1補正Y lidar(3085,2928),-2	G(1849,5260),N(1649,5262)	RS(0,0)
バスタオル1補正X 無し lidar(3085,2928),1285	G(1849,5260),N(1655,5265)	RS(0,0)	13
バスタオル1補正Y lidar(3085,2928),-2	G(1849,5263),N(1655,5265)	RS(0,0)
バスタオル1補正X 無し lidar(3084,2917),1284	G(1849,5263),N(1662,5266)	RS(0,0)	13
バスタオル1補正Y lidar(3084,2917),-13	G(1849,5253),N(1662,5266)	RS(0,0)
バスタオル1補正X 無し lidar(3084,2917),1284	G(1849,5253),N(1671,5266)	RS(0,0)	13
バスタオル1補正Y lidar(3084,2917),-13	G(1849,5253),N(1671,5266)	RS(0,0)
バスタオル1補正X 無し lidar(3064,2910),1264	G(1849,5253),N(1682,5267)	RS(0,0)	13
バスタオル1補正Y lidar(3064,2910),-20	G(1849,5247),N(1682,5267)	RS(0,0)
