11月13日20時29分	赤 予選
11月13日20時29分	赤 予選
11月13日20時29分	青 予選
11月13日20時29分	青 予選
バスタオル2下がり待ち lidar(331,2966),-11	G(-1741,5700),N(-1741,5272,-0.237070)	RS(-856,3661)
バスタオル2下がり待ち lidar(331,2966),-11	G(-1741,5700),N(-1741,5274,-0.102090)	RS(-856,3661)
バスタオル2下がり待ち lidar(331,2966),-11	G(-1741,5700),N(-1741,5276,-0.052541)	RS(-856,3659)
バスタオル2下がり待ち lidar(331,2966),-11	G(-1741,5700),N(-1741,5279,-0.002419)	RS(-854,3650)
バスタオル2下がり待ち lidar(331,2966),-11	G(-1741,5700),N(-1740,5283,0.033798)	RS(-854,3650)
バスタオル2下がり待ち lidar(464,2960),-11	G(-1741,5700),N(-1740,5294,0.050991)	RS(-853,3648)
バスタオル2下がり待ち lidar(464,2960),-11	G(-1741,5700),N(-1740,5301,0.038072)	RS(-853,3648)
バスタオル2下がり待ち lidar(2010,2944),-11	G(-1741,5700),N(-1740,5310,0.034274)	RS(-855,3657)
バスタオル2下がり待ち lidar(2010,2944),-11	G(-1741,5700),N(-1740,5320,0.012321)	RS(-855,3657)
バスタオル2補正X 無し lidar(1980,2933),525	G(-3190,5700),N(-1740,5344,0.037599)	RS(-855,3647)	11
バスタオル2補正X 無し lidar(1980,2933),525	G(-3190,5700),N(-1740,5358,0.036858)	RS(-858,3653)	11
バスタオル2補正X 無し lidar(1991,2902),536	G(-3190,5700),N(-1740,5373,0.032712)	RS(-858,3653)	11
バスタオル2補正X 無し lidar(1991,2902),536	G(-3190,5700),N(-1740,5390,0.028966)	RS(-865,3672)	12
バスタオル2補正X 無し lidar(1991,2902),536	G(-3190,5700),N(-1739,5427,-0.007600)	RS(-874,3694)	12
バスタオル2補正X 無し lidar(1996,2855),541	G(-3190,5700),N(-1739,5447,-0.009503)	RS(-874,3694)	12
バスタオル2補正X 無し lidar(1996,2855),541	G(-3190,5700),N(-1739,5467,-0.028036)	RS(-874,3694)	12
バスタオル2補正X 無し lidar(2000,2801),545	G(-3190,5700),N(-1740,5510,-0.061841)	RS(-874,3694)	12
バスタオル2補正X 無し lidar(2000,2801),545	G(-3190,5700),N(-1741,5531,-0.067652)	RS(-874,3694)	12
