11月18日20時25分	赤 決勝
バスタオル2下がり待ち lidar(1637,2949),182	G(2177,5700),N(2176,5132,0.049325)	RS(0,0)
バスタオル2下がり待ち lidar(1637,2949),182	G(2177,5700),N(2176,5136,0.114439)	RS(0,0)
バスタオル2下がり待ち lidar(1629,2952),182	G(2177,5700),N(2175,5145,0.125796)	RS(0,0)
バスタオル2下がり待ち lidar(1629,2952),182	G(2177,5700),N(2175,5152,0.097323)	RS(0,0)
バスタオル2下がり待ち lidar(1644,2944),182	G(2177,5700),N(2175,5160,0.111244)	RS(0,0)
バスタオル2下がり待ち lidar(1644,2944),182	G(2177,5700),N(2175,5179,0.118570)	RS(0,0)
バスタオル2下がり待ち lidar(2098,2922),182	G(2177,5700),N(2175,5190,0.109397)	RS(0,0)
バスタオル2下がり待ち lidar(2098,2922),182	G(2177,5700),N(2176,5202,0.112451)	RS(0,0)
バスタオル2下がり待ち lidar(2713,2890),182	G(2177,5700),N(2176,5216,0.134807)	RS(0,0)
バスタオル2下がり待ち lidar(2713,2890),182	G(2177,5700),N(2177,5247,0.150196)	RS(0,0)
バスタオル2下がり待ち lidar(2713,2890),182	G(2177,5700),N(2177,5264,0.137012)	RS(0,0)
バスタオル2下がり待ち lidar(2713,2848),182	G(2177,5700),N(2177,5282,0.133168)	RS(0,0)
バスタオル2下がり待ち lidar(2713,2848),182	G(2177,5700),N(2177,5302,0.126815)	RS(0,0)
バスタオル2補正X フェンス lidar(2711,2802),1266	G(3442,5700),N(2176,5342,0.142797)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(2711,2802),1266	G(3442,5700),N(2176,5364,0.149813)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(2715,2750),1270	G(3445,5700),N(2175,5387,0.161603)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(2715,2750),1270	G(3445,5700),N(2175,5410,0.161693)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(2713,2750),1268	G(3443,5700),N(2175,5459,0.170736)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(2713,2750),1268	G(3443,5700),N(2175,5483,0.168112)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(2713,2750),1268	G(3443,5700),N(2175,5507,0.142375)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(2718,2666),1273	G(3449,5700),N(2176,5531,0.109690)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(2718,2666),1273	G(3451,5700),N(2178,5575,0.011898)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(2715,2590),1270	G(3449,5700),N(2179,5595,-0.049764)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(2715,2590),1270	G(3451,5700),N(2181,5614,-0.121748)	RS(0,0)	wait:0	11
バスタオル2補正X フェンス lidar(2705,2526),1260	G(3448,5700),N(2188,5646,-0.270340)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(2705,2526),1260	G(3454,5700),N(2194,5659,-0.297882)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(2689,2477),1244	G(3445,5700),N(2201,5668,-0.318649)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(2689,2477),1244	G(3451,5700),N(2207,5676,-0.403017)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(2689,2477),1244	G(3468,5700),N(2224,5686,-0.564098)	RS(0,0)	wait:0	12
バスタオル2補正X フェンス lidar(2667,2438),1222	G(3456,5700),N(2234,5689,-0.605010)	RS(0,0)	wait:0	12
