11月11日20時24分	青 決勝
11月11日20時24分	青 決勝
CS通信切れ
バスタオル1補正Y lidar(1640,2901),-49	G(-2059,5202),N(-2082,5251,-0.188448)	RS(0,0)
バスタオル1補正X 無し lidar(431,2920),-5	G(-2059,5202),N(-2080,5245,-0.216846)	RS(0,0)	9
バスタオル1補正Y lidar(431,2920),-30	G(-2059,5215),N(-2080,5245,-0.216846)	RS(0,0)
バスタオル1補正X 無し lidar(431,2920),-5	G(-2059,5215),N(-2078,5239,-0.238134)	RS(0,0)	9
バスタオル1補正Y lidar(431,2920),-30	G(-2059,5209),N(-2078,5239,-0.238134)	RS(0,0)
バスタオル1補正X 無し lidar(431,2920),-5	G(-2059,5209),N(-2076,5234,-0.238134)	RS(0,0)	9
バスタオル1補正Y lidar(431,2920),-30	G(-2059,5204),N(-2076,5234,-0.238134)	RS(0,0)
バスタオル1補正X 無し lidar(441,2920),-5	G(-2059,5204),N(-2071,5228,-0.224923)	RS(0,0)	9
バスタオル1補正Y lidar(441,2920),-30	G(-2059,5198),N(-2071,5228,-0.224923)	RS(0,0)
バスタオル1補正X 無し lidar(441,2920),-5	G(-2059,5198),N(-2068,5226,-0.224923)	RS(0,0)	9
バスタオル1補正Y lidar(441,2920),-30	G(-2059,5196),N(-2068,5226,-0.224923)	RS(0,0)
バスタオル1補正X 無し lidar(448,2934),-5	G(-2059,5196),N(-2066,5225,-0.224923)	RS(0,0)	9
バスタオル1補正Y lidar(448,2934),-16	G(-2059,5209),N(-2066,5225,-0.224923)	RS(0,0)
バスタオル1補正X 無し lidar(448,2934),-5	G(-2059,5209),N(-2064,5224,-0.220544)	RS(0,0)	9
バスタオル1補正Y lidar(448,2934),-16	G(-2059,5208),N(-2064,5224,-0.220544)	RS(0,0)
バスタオル1補正X 無し lidar(450,2941),-5	G(-2059,5208),N(-2064,5225,-0.220544)	RS(0,0)	9
バスタオル1補正Y lidar(450,2941),-9	G(-2059,5216),N(-2064,5225,-0.220544)	RS(0,0)
バスタオル1補正X 無し lidar(450,2941),-5	G(-2059,5216),N(-2064,5225,-0.220544)	RS(0,0)	9
バスタオル1補正Y lidar(450,2941),-9	G(-2059,5216),N(-2064,5225,-0.220544)	RS(0,0)
バスタオル1補正X 無し lidar(443,2943),-5	G(-2059,5216),N(-2064,5225,-0.220544)	RS(0,0)	9
バスタオル1補正Y lidar(443,2943),-7	G(-2059,5218),N(-2064,5225,-0.220544)	RS(0,0)
バスタオル1 lidar(443,2943) RS_Y:0,X:0	now(-2064.214844,5224.680176,-0.220544)	9
バスタオル2補正前 lidar(431,2944) RS_Y:0,X:0	now(-2064.217285,5224.057129,-0.216475)	10
バスタオル2移動始め lidar(431,2944) goal(-2064,5700,0.000000) now(-2064,5224,-0.216475)
バスタオル2補正X 無し lidar(431,2944),-5	G(-2064,5700),N(-2064,5224,-0.216475)	RS(0,0)	10
バスタオル2下がり待ち lidar(430,2943),-5	G(-2064,5700),N(-2064,5224,-0.216475)	RS(0,0)
バスタオル2下がり待ち lidar(430,2943),-5	G(-2064,5700),N(-2064,5224,-0.216475)	RS(0,0)
バスタオル2下がり待ち lidar(425,2945),-5	G(-2064,5700),N(-2064,5224,-0.216475)	RS(0,0)
バスタオル2下がり待ち lidar(425,2945),-5	G(-2064,5700),N(-2064,5224,-0.216475)	RS(0,0)
バスタオル2下がり待ち lidar(424,2954),-5	G(-2064,5700),N(-2064,5224,-0.216475)	RS(0,0)
バスタオル2下がり待ち lidar(424,2954),-5	G(-2064,5700),N(-2064,5224,-0.216475)	RS(0,0)
バスタオル2下がり待ち lidar(422,2957),-5	G(-2064,5700),N(-2064,5224,-0.216475)	RS(0,0)
バスタオル2下がり待ち lidar(422,2957),-5	G(-2064,5700),N(-2064,5224,-0.216125)	RS(0,0)
バスタオル2下がり待ち lidar(422,2957),-5	G(-2064,5700),N(-2064,5224,-0.161170)	RS(0,0)
バスタオル2下がり待ち lidar(438,2957),-5	G(-2064,5700),N(-2064,5225,-0.093571)	RS(0,0)
バスタオル2下がり待ち lidar(438,2957),-5	G(-2064,5700),N(-2064,5229,0.093864)	RS(0,0)
バスタオル2下がり待ち lidar(428,2950),-5	G(-2064,5700),N(-2063,5232,0.211996)	RS(0,0)
バスタオル2下がり待ち lidar(428,2950),-5	G(-2064,5700),N(-2063,5237,0.330136)	RS(0,0)
バスタオル2下がり待ち lidar(422,2950),-5	G(-2064,5700),N(-2063,5252,0.425415)	RS(0,0)
バスタオル2下がり待ち lidar(422,2950),-5	G(-2064,5700),N(-2063,5261,0.393151)	RS(0,0)
バスタオル2下がり待ち lidar(422,2950),-5	G(-2064,5700),N(-2063,5272,0.378931)	RS(0,0)
バスタオル2下がり待ち lidar(1538,2943),-5	G(-2064,5700),N(-2063,5283,0.331167)	RS(0,0)
バスタオル2下がり待ち lidar(1538,2943),-5	G(-2064,5700),N(-2062,5312,0.191008)	RS(0,0)
バスタオル2下がり待ち lidar(2167,2916),-5	G(-2064,5700),N(-2062,5329,0.091669)	RS(0,0)
バスタオル2補正X 無し lidar(2167,2916),472	G(-3480,5700),N(-2062,5347,0.057669)	RS(0,0)	11
バスタオル2補正X 無し lidar(2177,2861),482	G(-3480,5700),N(-2061,5365,0.012950)	RS(0,0)	11
バスタオル2補正X 無し lidar(2177,2861),482	G(-3480,5700),N(-2061,5406,-0.038926)	RS(0,0)	11
バスタオル2補正X 無し lidar(2172,2815),477	G(-3480,5700),N(-2060,5427,-0.069692)	RS(0,0)	11
バスタオル2補正X 無し lidar(2172,2815),477	G(-3480,5700),N(-2060,5449,-0.070596)	RS(0,0)	11
バスタオル2補正X 無し lidar(2172,2815),477	G(-3480,5700),N(-2060,5471,-0.082857)	RS(0,0)	11
バスタオル2補正X 無し lidar(2174,2750),479	G(-3480,5700),N(-2059,5517,-0.077683)	RS(0,0)	11
バスタオル2補正X 無し lidar(2174,2750),479	G(-3480,5700),N(-2060,5539,-0.084225)	RS(0,0)	11
バスタオル2補正X 無し lidar(2174,2689),479	G(-3480,5700),N(-2060,5561,-0.077715)	RS(0,0)	11
