11月6日21時27分	青 決勝
CS通信切れ
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1838,408
シーツ補正X lidar(3814,1838),-16	G(-3799,6740),N(-3783,6335)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1838,408
シーツ補正X lidar(3814,1838),-16	G(-3799,6740),N(-3783,6335)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1838,408
シーツ補正X lidar(3813,1839),-17	G(-3802,6740),N(-3785,6336)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1839,409
シーツ補正X lidar(3813,1839),-17	G(-3803,6740),N(-3786,6338)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1839,409
シーツ補正X lidar(3828,1837),-2	G(-3790,6740),N(-3788,6339)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1837,407
シーツ補正X lidar(3828,1837),-2	G(-3792,6740),N(-3790,6341)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1837,407
シーツ補正X lidar(3828,1832),-2	G(-3797,6740),N(-3795,6347)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1832,402
シーツ補正X lidar(3828,1832),-2	G(-3801,6740),N(-3799,6350)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1832,402
シーツ補正X lidar(3834,1832),4	G(-3798,6740),N(-3802,6353)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1832,402
シーツ補正X lidar(3834,1832),4	G(-3800,6740),N(-3804,6356)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1832,402
シーツ補正X lidar(3834,1832),4	G(-3805,6740),N(-3809,6363)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1832,402
シーツ補正X lidar(3838,1825),8	G(-3803,6740),N(-3811,6368)	RS(0,0)
シーツ補正Y lidar(3838,1825),395	G(-3803,6763),N(-3811,6368)	RS(0,0)
シーツ補正X lidar(3838,1825),8	G(-3804,6763),N(-3812,6372)	RS(0,0)
シーツ補正Y lidar(3838,1825),395	G(-3804,6767),N(-3812,6372)	RS(0,0)
シーツ補正X lidar(3844,1820),14	G(-3800,6767),N(-3814,6378)	RS(0,0)
シーツ補正Y lidar(3844,1820),390	G(-3800,6768),N(-3814,6378)	RS(0,0)
シーツ補正X lidar(3844,1820),14	G(-3801,6768),N(-3815,6391)	RS(0,0)
シーツ補正Y lidar(3844,1820),390	G(-3801,6781),N(-3815,6391)	RS(0,0)
シーツ補正X lidar(3858,1811),28	G(-3788,6781),N(-3816,6398)	RS(0,0)
シーツ補正Y lidar(3858,1811),381	G(-3788,6779),N(-3816,6398)	RS(0,0)
シーツ補正X lidar(3858,1811),28	G(-3788,6779),N(-3816,6405)	RS(0,0)
シーツ補正Y lidar(3858,1811),381	G(-3788,6786),N(-3816,6405)	RS(0,0)
シーツ補正X lidar(3849,1792),19	G(-3796,6786),N(-3815,6420)	RS(0,0)
シーツ補正Y lidar(3849,1792),362	G(-3796,6782),N(-3815,6420)	RS(0,0)
シーツ補正X lidar(3849,1792),19	G(-3796,6782),N(-3815,6428)	RS(0,0)
シーツ補正Y lidar(3849,1792),362	G(-3796,6790),N(-3815,6428)	RS(0,0)
