10月21日20時37分	赤 予選
10月21日20時37分	赤 予選
シーツ補正X lidar(3033,1723),3	G(1887,6340),N(1884,6351)	RS(958,2387)
シーツ補正X lidar(3037,1710),7	G(1891,6340),N(1884,6351)	RS(958,2387)
シーツ補正X lidar(3037,1710),7	G(1891,6340),N(1884,6351)	RS(959,2389)
シーツ補正X lidar(3037,1710),7	G(1891,6340),N(1884,6351)	RS(961,2394)
シーツ補正X lidar(3042,1707),12	G(1896,6340),N(1884,6351)	RS(961,2394)
シーツ補正X lidar(3042,1707),12	G(1896,6340),N(1884,6351)	RS(959,2390)
シーツ補正X lidar(3037,1703),7	G(1891,6340),N(1884,6351)	RS(959,2390)
シーツ補正X lidar(3037,1703),7	G(1891,6340),N(1884,6351)	RS(959,2389)
シーツ補正X lidar(3037,1703),7	G(1891,6340),N(1884,6351)	RS(961,2393)
シーツ補正X lidar(3044,1707),14	G(1898,6340),N(1884,6351)	RS(961,2393)
シーツ補正X lidar(3044,1707),14	G(1898,6340),N(1884,6351)	RS(962,2397)
シーツ補正X lidar(3034,1703),4	G(1888,6340),N(1884,6351)	RS(961,2394)
シーツ補正X lidar(3034,1703),4	G(1888,6340),N(1884,6351)	RS(961,2394)
シーツ補正X lidar(3034,1703),4	G(1889,6340),N(1885,6351)	RS(963,2399)
シーツ補正X lidar(3038,1703),8	G(1893,6340),N(1885,6351)	RS(963,2400)
シーツ補正X lidar(3038,1703),8	G(1893,6340),N(1885,6351)	RS(963,2400)
シーツ補正X lidar(3040,1701),10	G(1895,6340),N(1885,6351)	RS(964,2402)
シーツ補正Y lidar(3040,1701),321	G(1895,6672),N(1885,6351)	RS(964,2402)
シーツ補正X lidar(3040,1701),10	G(1895,6672),N(1885,6351)	RS(962,2397)
シーツ補正Y lidar(3040,1701),321	G(1895,6672),N(1885,6351)	RS(962,2397)
シーツ補正X lidar(3040,1701),10	G(1895,6672),N(1885,6351)	RS(962,2397)
シーツ補正Y lidar(3040,1701),321	G(1895,6672),N(1885,6351)	RS(962,2397)
シーツ補正X lidar(3039,1702),9	G(1894,6672),N(1885,6351)	RS(963,2400)
シーツ補正Y lidar(3039,1702),322	G(1894,6673),N(1885,6351)	RS(963,2400)
シーツ補正X lidar(3039,1702),9	G(1894,6673),N(1885,6351)	RS(963,2400)
シーツ補正Y lidar(3039,1702),322	G(1894,6673),N(1885,6351)	RS(963,2400)
シーツ補正X lidar(3039,1700),9	G(1894,6673),N(1885,6351)	RS(962,2396)
シーツ補正Y lidar(3039,1700),320	G(1894,6671),N(1885,6351)	RS(962,2396)
シーツ補正X lidar(3039,1700),9	G(1894,6671),N(1885,6351)	RS(961,2396)
シーツ補正Y lidar(3039,1700),320	G(1894,6671),N(1885,6351)	RS(961,2396)
シーツ補正X lidar(3039,1700),9	G(1894,6671),N(1885,6351)	RS(961,2396)
シーツ補正Y lidar(3039,1700),320	G(1894,6671),N(1885,6351)	RS(961,2396)
シーツ補正X lidar(3023,1701),-7	G(1878,6671),N(1885,6351)	RS(960,2392)
シーツ補正Y lidar(3023,1701),321	G(1878,6672),N(1885,6351)	RS(960,2392)
シーツ補正X lidar(3023,1701),-7	G(1879,6672),N(1886,6350)	RS(960,2392)
シーツ補正Y lidar(3023,1701),321	G(1879,6671),N(1886,6350)	RS(960,2392)
シーツ補正X lidar(3025,1704),-5	G(1883,6671),N(1888,6349)	RS(961,2394)
シーツ補正Y lidar(3025,1704),324	G(1883,6673),N(1888,6349)	RS(961,2394)
シーツ補正X lidar(3025,1704),-5	G(1885,6673),N(1890,6349)	RS(963,2399)
シーツ補正Y lidar(3025,1704),324	G(1885,6673),N(1890,6349)	RS(963,2399)
シーツ補正X lidar(3025,1704),-5	G(1885,6673),N(1890,6350)	RS(963,2399)
シーツ補正Y lidar(3025,1704),324	G(1885,6674),N(1890,6350)	RS(963,2399)
シーツ補正X lidar(3030,1701),0	G(1890,6674),N(1890,6350)	RS(962,2400)
シーツ補正Y lidar(3030,1701),321	G(1890,6671),N(1890,6350)	RS(962,2400)
シーツ補正X lidar(3030,1701),0	G(1890,6671),N(1890,6349)	RS(959,2395)
シーツ補正Y lidar(3030,1701),321	G(1890,6670),N(1890,6349)	RS(959,2395)
シーツ補正X lidar(3034,1708),4	G(1894,6670),N(1890,6349)	RS(959,2395)
シーツ補正Y lidar(3034,1708),328	G(1894,6677),N(1890,6349)	RS(959,2395)
シーツ補正X lidar(3034,1708),4	G(1894,6677),N(1890,6349)	RS(957,2392)
シーツ補正Y lidar(3034,1708),328	G(1894,6677),N(1890,6349)	RS(957,2392)
シーツ補正X lidar(3034,1708),4	G(1894,6677),N(1890,6354)	RS(957,2392)
シーツ補正Y lidar(3034,1708),328	G(1894,6682),N(1890,6354)	RS(957,2392)
シーツ補正X lidar(3037,1703),7	G(1898,6682),N(1891,6355)	RS(956,2389)
シーツ補正Y lidar(3037,1703),323	G(1898,6678),N(1891,6355)	RS(956,2389)
シーツ補正X lidar(3037,1703),7	G(1899,6678),N(1892,6356)	RS(952,2380)
シーツ補正Y lidar(3037,1703),323	G(1899,6679),N(1892,6356)	RS(952,2380)
シーツ補正X lidar(3024,1709),-6	G(1887,6679),N(1893,6358)	RS(952,2380)
シーツ補正Y lidar(3024,1709),329	G(1887,6687),N(1893,6358)	RS(952,2380)
シーツ補正X lidar(3024,1709),-6	G(1887,6687),N(1893,6359)	RS(949,2377)
シーツ補正Y lidar(3024,1709),329	G(1887,6688),N(1893,6359)	RS(949,2377)
シーツ補正X lidar(3024,1709),-6	G(1889,6688),N(1895,6361)	RS(949,2377)
シーツ補正Y lidar(3024,1709),329	G(1889,6690),N(1895,6361)	RS(949,2377)
シーツ補正X lidar(3032,1706),2	G(1898,6690),N(1896,6364)	RS(950,2378)
シーツ補正Y lidar(3032,1706),326	G(1898,6690),N(1896,6364)	RS(950,2378)
シーツ補正X lidar(3032,1706),2	G(1899,6690),N(1897,6365)	RS(948,2377)
