11月5日20時47分	赤 決勝
シーツ補正X lidar(3061,1849),1	G(1785,6740),N(1784,6333)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1849,409
シーツ補正X lidar(3061,1849),1	G(1785,6740),N(1784,6333)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1849,409
シーツ補正X lidar(3053,1858),-7	G(1777,6740),N(1784,6333)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1858,418
シーツ補正X lidar(3053,1858),-7	G(1777,6740),N(1784,6333)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1858,418
シーツ補正X lidar(3053,1854),-7	G(1777,6740),N(1784,6333)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1854,414
シーツ補正X lidar(3053,1854),-7	G(1777,6740),N(1784,6333)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1854,414
シーツ補正X lidar(3054,1859),-6	G(1778,6740),N(1784,6334)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1859,419
シーツ補正X lidar(3054,1859),-6	G(1778,6740),N(1784,6334)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1859,419
シーツ補正X lidar(3054,1859),-6	G(1778,6740),N(1784,6335)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1859,419
シーツ補正X lidar(3058,1860),-2	G(1782,6740),N(1784,6336)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1860,420
シーツ補正X lidar(3058,1860),-2	G(1780,6740),N(1782,6341)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1860,420
シーツ補正X lidar(3053,1859),-7	G(1774,6740),N(1781,6345)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1859,419
シーツ補正X lidar(3053,1859),-7	G(1773,6740),N(1780,6350)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1859,419
シーツ補正X lidar(3057,1840),-3	G(1775,6740),N(1778,6361)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1840,400
シーツ補正X lidar(3057,1840),-3	G(1774,6740),N(1777,6368)	RS(0,0)
シーツ　RS無視 RS_Y:0,50000,0 X:0	lidar_y:1840,400
シーツ補正X lidar(3074,1826),14	G(1790,6740),N(1776,6375)	RS(0,0)
シーツ補正Y lidar(3074,1826),386	G(1790,6761),N(1776,6375)	RS(0,0)
シーツ補正X lidar(3074,1826),14	G(1790,6761),N(1776,6383)	RS(0,0)
シーツ補正Y lidar(3074,1826),386	G(1790,6769),N(1776,6383)	RS(0,0)
シーツ補正X lidar(3074,1826),14	G(1789,6769),N(1775,6401)	RS(0,0)
シーツ補正Y lidar(3074,1826),386	G(1789,6787),N(1775,6401)	RS(0,0)
シーツ補正X lidar(3064,1826),4	G(1778,6787),N(1774,6411)	RS(0,0)
シーツ補正Y lidar(3064,1826),386	G(1778,6797),N(1774,6411)	RS(0,0)
シーツ補正X lidar(3064,1826),4	G(1778,6797),N(1774,6422)	RS(0,0)
シーツ補正Y lidar(3064,1826),386	G(1778,6808),N(1774,6422)	RS(0,0)
シーツ補正X lidar(3067,1800),7	G(1781,6808),N(1774,6433)	RS(0,0)
シーツ補正Y lidar(3067,1800),360	G(1781,6793),N(1774,6433)	RS(0,0)
シーツ補正X lidar(3067,1800),7	G(1780,6793),N(1773,6455)	RS(0,0)
シーツ補正Y lidar(3067,1800),360	G(1780,6815),N(1773,6455)	RS(0,0)
シーツ補正X lidar(3065,1762),5	G(1779,6815),N(1774,6466)	RS(0,0)
シーツ補正Y lidar(3065,1762),322	G(1779,6788),N(1774,6466)	RS(0,0)
シーツ補正X lidar(3065,1762),5	G(1780,6788),N(1775,6477)	RS(0,0)
シーツ補正Y lidar(3065,1762),322	G(1780,6799),N(1775,6477)	RS(0,0)
シーツ補正X lidar(3068,1732),8	G(1784,6799),N(1776,6489)	RS(0,0)
シーツ補正Y lidar(3068,1732),292	G(1784,6781),N(1776,6489)	RS(0,0)
シーツ補正X lidar(3068,1732),8	G(1785,6781),N(1777,6511)	RS(0,0)
シーツ補正Y lidar(3068,1732),292	G(1785,6803),N(1777,6511)	RS(0,0)
シーツ補正X lidar(3068,1732),8	G(1786,6803),N(1778,6522)	RS(0,0)
シーツ補正Y lidar(3068,1732),292	G(1786,6814),N(1778,6522)	RS(0,0)
シーツ補正X lidar(3064,1691),4	G(1782,6814),N(1778,6534)	RS(0,0)
シーツ補正Y lidar(3064,1691),251	G(1782,6785),N(1778,6534)	RS(0,0)
シーツ補正X lidar(3064,1691),4	G(1783,6785),N(1779,6557)	RS(0,0)
シーツ補正Y lidar(3064,1691),251	G(1783,6808),N(1779,6557)	RS(0,0)
シーツ補正X lidar(3060,1654),0	G(1780,6808),N(1780,6569)	RS(0,0)
シーツ補正Y lidar(3060,1654),214	G(1780,6783),N(1780,6569)	RS(0,0)
シーツ補正X lidar(3060,1654),0	G(1781,6783),N(1781,6581)	RS(0,0)
シーツ補正Y lidar(3060,1654),214	G(1781,6795),N(1781,6581)	RS(0,0)
シーツ補正X lidar(3062,1614),2	G(1783,6795),N(1781,6594)	RS(0,0)
シーツ補正Y lidar(3062,1614),174	G(1783,6768),N(1781,6594)	RS(0,0)
シーツ補正X lidar(3062,1614),2	G(1783,6768),N(1781,6619)	RS(0,0)
シーツ補正Y lidar(3062,1614),174	G(1783,6793),N(1781,6619)	RS(0,0)
シーツ補正X lidar(3059,1569),-1	G(1781,6793),N(1782,6632)	RS(0,0)
シーツ補正Y lidar(3059,1569),129	G(1781,6761),N(1782,6632)	RS(0,0)
シーツ補正X lidar(3059,1569),-1	G(1781,6761),N(1782,6645)	RS(0,0)
シーツ補正Y lidar(3059,1569),129	G(1781,6774),N(1782,6645)	RS(0,0)
シーツ補正X lidar(3059,1569),-1	G(1781,6774),N(1782,6658)	RS(0,0)
シーツ補正Y lidar(3059,1569),129	G(1781,6787),N(1782,6658)	RS(0,0)
シーツ補正X lidar(3057,1528),-3	G(1779,6787),N(1782,6681)	RS(0,0)
シーツ補正Y lidar(3057,1528),88	G(1779,6769),N(1782,6681)	RS(0,0)
シーツ補正X lidar(3057,1528),-53	G(1729,6769),N(1782,6692)	RS(0,0)
