11月3日20時16分	赤 予選
11月3日20時16分	赤 予選
バスタオル1補正X フェンス lidar(2871,2834),6	G(1915,5340),N(1909,5341,0.058517)	RS(748,3472)	11
バスタオル1補正X フェンス lidar(2867,2849),2	G(1911,5340),N(1909,5341,0.058517)	RS(751,3483)	11
バスタオル1補正X フェンス lidar(2867,2849),2	G(1911,5340),N(1909,5341,0.058517)	RS(749,3473)	11
バスタオル1補正X フェンス lidar(2867,2849),2	G(1911,5340),N(1909,5341,0.058517)	RS(749,3473)	11
バスタオル1補正X フェンス lidar(2865,2843),0	G(1909,5340),N(1909,5341,0.058517)	RS(749,3476)	11
バスタオル1補正X フェンス lidar(2865,2843),0	G(1909,5340),N(1909,5341,0.058517)	RS(749,3474)	11
バスタオル1補正X フェンス lidar(2868,2833),3	G(1912,5340),N(1909,5341,0.058517)	RS(749,3474)	11
バスタオル1補正X フェンス lidar(2868,2833),3	G(1912,5340),N(1909,5341,0.058517)	RS(746,3462)	11
バスタオル1補正X フェンス lidar(2869,2833),4	G(1913,5340),N(1909,5341,0.058517)	RS(748,3472)	11
バスタオル1補正X フェンス lidar(2869,2833),4	G(1913,5340),N(1909,5341,0.058517)	RS(748,3472)	11
バスタオル1補正X フェンス lidar(2870,2836),5	G(1914,5340),N(1909,5341,0.058517)	RS(746,3460)	12
バスタオル1補正X フェンス lidar(2870,2836),5	G(1914,5340),N(1909,5341,0.058517)	RS(746,3460)	12
バスタオル1補正X フェンス lidar(2870,2836),5	G(1914,5340),N(1909,5341,0.058517)	RS(748,3472)	12
バスタオル1補正X フェンス lidar(2871,2826),6	G(1915,5340),N(1909,5341,0.058517)	RS(749,3476)	12
バスタオル1補正X フェンス lidar(2871,2826),6	G(1915,5340),N(1909,5341,0.058517)	RS(749,3476)	12
バスタオル1補正X フェンス lidar(2876,2821),11	G(1920,5340),N(1909,5341,0.058517)	RS(751,3482)	12
バスタオル1補正X フェンス lidar(2876,2821),11	G(1920,5340),N(1909,5341,0.058517)	RS(752,3487)	12
バスタオル1補正X フェンス lidar(2880,2823),15	G(1924,5340),N(1909,5341,0.058517)	RS(752,3487)	12
バスタオル1補正X フェンス lidar(2880,2823),15	G(1924,5340),N(1909,5341,0.058517)	RS(750,3480)	12
バスタオル1補正X フェンス lidar(2880,2824),15	G(1924,5340),N(1909,5341,0.058517)	RS(753,3493)	12
バスタオル1補正X フェンス lidar(2880,2824),15	G(1924,5340),N(1909,5341,0.058517)	RS(753,3493)	12
バスタオル1補正X フェンス lidar(2880,2824),15	G(1924,5340),N(1909,5341,0.058517)	RS(753,3493)	12
バスタオル1補正X フェンス lidar(2878,2826),13	G(1922,5340),N(1909,5341,0.058517)	RS(753,3491)	12
バスタオル1補正X フェンス lidar(2878,2826),13	G(1922,5340),N(1909,5341,0.058517)	RS(753,3491)	12
バスタオル1補正X フェンス lidar(2878,2813),13	G(1922,5340),N(1909,5341,0.058517)	RS(752,3486)	12
バスタオル1補正X フェンス lidar(2878,2813),13	G(1922,5340),N(1909,5341,0.058517)	RS(749,3475)	12
バスタオル1補正X フェンス lidar(2872,2813),7	G(1916,5340),N(1909,5341,0.058517)	RS(749,3475)	12
バスタオル1補正X フェンス lidar(2872,2813),7	G(1916,5340),N(1909,5341,0.058517)	RS(751,3483)	12
バスタオル1補正X フェンス lidar(2868,2821),3	G(1912,5340),N(1909,5341,0.058517)	RS(751,3483)	12
バスタオル1補正X フェンス lidar(2868,2821),3	G(1912,5340),N(1909,5341,0.058517)	RS(748,3471)	12
