11月5日20時38分	赤 決勝
11月5日20時38分	赤 決勝
シーツ補正X lidar(3055,1755),-5	G(1819,6745),N(1824,6419)	RS(0,0)
シーツ補正Y lidar(3055,1755),315	G(1819,6734),N(1824,6419)	RS(0,0)
シーツ補正X lidar(3055,1755),-5	G(1819,6734),N(1824,6429)	RS(0,0)
シーツ補正Y lidar(3055,1755),315	G(1819,6744),N(1824,6429)	RS(0,0)
シーツ補正X lidar(3046,1755),-14	G(1811,6744),N(1825,6440)	RS(0,0)
シーツ補正Y lidar(3046,1755),315	G(1811,6755),N(1825,6440)	RS(0,0)
シーツ補正X lidar(3046,1755),-14	G(1811,6755),N(1825,6462)	RS(0,0)
シーツ補正Y lidar(3046,1755),315	G(1811,6777),N(1825,6462)	RS(0,0)
シーツ補正X lidar(3047,1714),-13	G(1812,6777),N(1825,6474)	RS(0,0)
シーツ補正Y lidar(3047,1714),274	G(1812,6748),N(1825,6474)	RS(0,0)
シーツ補正X lidar(3047,1714),-13	G(1812,6748),N(1825,6485)	RS(0,0)
シーツ補正Y lidar(3047,1714),274	G(1812,6759),N(1825,6485)	RS(0,0)
シーツ補正X lidar(3048,1684),-12	G(1812,6759),N(1824,6497)	RS(0,0)
シーツ補正Y lidar(3048,1684),244	G(1812,6741),N(1824,6497)	RS(0,0)
シーツ補正X lidar(3048,1684),-12	G(1811,6741),N(1823,6520)	RS(0,0)
シーツ補正Y lidar(3048,1684),244	G(1811,6764),N(1823,6520)	RS(0,0)
シーツ補正X lidar(3048,1684),-12	G(1810,6764),N(1822,6531)	RS(0,0)
シーツ補正Y lidar(3048,1684),244	G(1810,6775),N(1822,6531)	RS(0,0)
シーツ補正X lidar(3056,1648),-4	G(1817,6775),N(1821,6542)	RS(0,0)
シーツ補正Y lidar(3056,1648),208	G(1817,6750),N(1821,6542)	RS(0,0)
シーツ補正X lidar(3056,1648),-4	G(1814,6750),N(1818,6566)	RS(0,0)
シーツ補正Y lidar(3056,1648),208	G(1814,6774),N(1818,6566)	RS(0,0)
シーツ補正X lidar(3057,1614),-3	G(1814,6774),N(1817,6577)	RS(0,0)
シーツ補正Y lidar(3057,1614),174	G(1814,6751),N(1817,6577)	RS(0,0)
シーツ補正X lidar(3057,1614),-3	G(1812,6751),N(1815,6590)	RS(0,0)
シーツ補正Y lidar(3057,1614),174	G(1812,6764),N(1815,6590)	RS(0,0)
シーツ補正X lidar(3065,1579),5	G(1819,6764),N(1814,6601)	RS(0,0)
シーツ補正Y lidar(3065,1579),139	G(1819,6740),N(1814,6601)	RS(0,0)
シーツ補正X lidar(3065,1579),5	G(1817,6740),N(1812,6625)	RS(0,0)
シーツ補正Y lidar(3065,1579),139	G(1817,6764),N(1812,6625)	RS(0,0)
シーツ補正X lidar(3067,1537),7	G(1818,6764),N(1811,6637)	RS(0,0)
シーツ補正Y lidar(3067,1537),97	G(1818,6734),N(1811,6637)	RS(0,0)
シーツ補正X lidar(3067,1537),-43	G(1767,6734),N(1810,6649)	RS(0,0)
シーツ補正Y lidar(3067,1537),97	G(1767,6746),N(1810,6649)	RS(0,0)
シーツ補正X lidar(3067,1537),-43	G(1767,6746),N(1810,6660)	RS(0,0)
シーツ補正Y lidar(3067,1537),97	G(1767,6757),N(1810,6660)	RS(0,0)
シーツ補正X lidar(3073,1480),-37	G(1772,6757),N(1809,6680)	RS(0,0)
シーツ補正Y lidar(3073,1480),40	G(1772,6720),N(1809,6680)	RS(0,0)
シーツ補正X lidar(3073,1480),-37	G(1772,6720),N(1809,6689)	RS(0,0)
シーツ補正Y lidar(3073,1480),40	G(1772,6729),N(1809,6689)	RS(0,0)
シーツ補正X lidar(3070,1447),-40	G(1770,6729),N(1810,6697)	RS(0,0)
シーツ補正Y lidar(3070,1447),7	G(1770,6704),N(1810,6697)	RS(0,0)
シーツ補正X lidar(3070,1447),-40	G(1771,6704),N(1811,6705)	RS(0,0)
シーツ補正Y lidar(3070,1447),7	G(1771,6712),N(1811,6705)	RS(0,0)
シーツ補正X lidar(3073,1425),-37	G(1774,6712),N(1811,6717)	RS(0,0)
シーツ補正Y lidar(3073,1425),-15	G(1774,6702),N(1811,6717)	RS(0,0)
シーツ補正X lidar(3073,1425),-37	G(1775,6702),N(1812,6720)	RS(0,0)
シーツ補正Y lidar(3073,1425),-15	G(1775,6705),N(1812,6720)	RS(0,0)
シーツ補正X lidar(3068,1425),-42	G(1770,6705),N(1812,6723)	RS(0,0)
シーツ補正Y lidar(3068,1425),-15	G(1770,6708),N(1812,6723)	RS(0,0)
シーツ補正X lidar(3068,1425),-42	G(1770,6708),N(1812,6723)	RS(0,0)
シーツ補正Y lidar(3068,1425),-15	G(1770,6708),N(1812,6723)	RS(0,0)
シーツ補正X lidar(3068,1425),-42	G(1770,6708),N(1812,6722)	RS(0,0)
シーツ補正Y lidar(3068,1425),-15	G(1770,6707),N(1812,6722)	RS(0,0)
シーツ補正X lidar(3062,1410),-48	G(1763,6707),N(1811,6721)	RS(0,0)
シーツ補正Y lidar(3062,1410),-30	G(1763,6691),N(1811,6721)	RS(0,0)
シーツ補正X lidar(3062,1410),-48	G(1762,6691),N(1810,6719)	RS(0,0)
シーツ補正Y lidar(3062,1410),-30	G(1762,6689),N(1810,6719)	RS(0,0)
シーツ補正X lidar(3061,1411),-49	G(1756,6689),N(1805,6713)	RS(0,0)
シーツ補正Y lidar(3061,1411),-29	G(1756,6684),N(1805,6713)	RS(0,0)
シーツ補正X lidar(3061,1411),-49	G(1753,6684),N(1802,6710)	RS(0,0)
シーツ補正Y lidar(3061,1411),-29	G(1753,6681),N(1802,6710)	RS(0,0)
シーツ補正X lidar(3078,1420),-32	G(1767,6681),N(1799,6706)	RS(0,0)
シーツ補正Y lidar(3078,1420),-20	G(1767,6686),N(1799,6706)	RS(0,0)
シーツ補正X lidar(3078,1420),-32	G(1763,6686),N(1795,6702)	RS(0,0)
シーツ補正Y lidar(3078,1420),-20	G(1763,6682),N(1795,6702)	RS(0,0)
シーツ補正X lidar(3086,1420),-24	G(1763,6682),N(1787,6694)	RS(0,0)
シーツ補正Y lidar(3086,1420),-20	G(1763,6674),N(1787,6694)	RS(0,0)
シーツ補正X lidar(3086,1420),-24	G(1759,6674),N(1783,6690)	RS(0,0)
シーツ補正Y lidar(3086,1420),-20	G(1759,6670),N(1783,6690)	RS(0,0)
シーツ補正X lidar(3086,1420),-24	G(1755,6670),N(1779,6687)	RS(0,0)
シーツ補正Y lidar(3086,1420),-20	G(1755,6667),N(1779,6687)	RS(0,0)
シーツ補正X lidar(3101,1442),-9	G(1766,6667),N(1775,6683)	RS(0,0)
シーツ補正Y lidar(3101,1442),2	G(1766,6685),N(1775,6683)	RS(0,0)
シーツ補正X lidar(3101,1442),-9	G(1760,6685),N(1769,6678)	RS(0,0)
シーツ補正Y lidar(3101,1442),2	G(1760,6680),N(1769,6678)	RS(0,0)
シーツ補正X lidar(3113,1451),3	G(1770,6680),N(1767,6676)	RS(0,0)
シーツ補正Y lidar(3113,1451),11	G(1770,6687),N(1767,6676)	RS(0,0)
シーツ補正X lidar(3113,1451),3	G(1768,6687),N(1765,6674)	RS(0,0)
シーツ補正Y lidar(3113,1451),11	G(1768,6685),N(1765,6674)	RS(0,0)
シーツリミット左 lidar(3113,1467) RS_Y:0,X:0	now(1764,6672,-0.400002)
シーツ補正Y lidar(3113,1467),27	G(1768,6699),N(1764,6672)	RS(0,0)
シーツはじめ lidar(3113,1467) now(1763.074585,6670.744141,-0.400464)	RS(0,0)	15
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1763,6672)	lidar(3107,1477)
干し右よけ待ち RS_X:0,50000	G(3880,6672),N(1763,6672)	lidar(3107,1477)
