11月14日21時33分	赤 予選
11月14日21時33分	赤 予選
11月14日21時34分	赤 予選
バスタオル2補正X 無し lidar(1708,2810),4	G(3053,5157),N(3051,5280,0.917771)	RS(0,0)	13
バスタオル2補正Y lidar(1708,2810),-140	G(3053,5140),N(3051,5280,0.917771)	RS(0,0)
バスタオル2補正X 無し lidar(1708,2810),4	G(3053,5140),N(3052,5272,0.704979)	RS(0,0)	13
バスタオル2補正Y lidar(1708,2810),-140	G(3053,5132),N(3052,5272,0.704979)	RS(0,0)
バスタオル2補正X 無し lidar(1708,2825),4	G(3053,5132),N(3052,5263,0.455652)	RS(0,0)	13
バスタオル2補正Y lidar(1708,2825),-125	G(3053,5138),N(3052,5263,0.455652)	RS(0,0)
バスタオル2補正X 無し lidar(1708,2825),4	G(3053,5138),N(3053,5255,0.222062)	RS(0,0)	13
バスタオル2補正Y lidar(1708,2825),-125	G(3053,5130),N(3053,5255,0.222062)	RS(0,0)
バスタオル2補正X 無し lidar(1707,2855),4	G(3053,5130),N(3053,5238,-0.130804)	RS(0,0)	13
バスタオル2補正Y lidar(1707,2855),-95	G(3053,5143),N(3053,5238,-0.130804)	RS(0,0)
バスタオル2補正X 無し lidar(1707,2855),4	G(3053,5143),N(3053,5229,-0.263620)	RS(0,0)	13
バスタオル2補正Y lidar(1707,2855),-95	G(3053,5134),N(3053,5229,-0.263620)	RS(0,0)
バスタオル2補正X 無し lidar(1226,2871),4	G(3053,5134),N(3053,5220,-0.329134)	RS(0,0)	13
バスタオル2補正Y lidar(1226,2871),-79	G(3053,5141),N(3053,5220,-0.329134)	RS(0,0)
バスタオル2補正X 無し lidar(1226,2871),4	G(3053,5141),N(3053,5212,-0.335023)	RS(0,0)	13
バスタオル2補正Y lidar(1226,2871),-79	G(3053,5133),N(3053,5212,-0.335023)	RS(0,0)
バスタオル2補正X 無し lidar(679,2892),4	G(3053,5133),N(3053,5196,-0.343869)	RS(0,0)	13
バスタオル2補正Y lidar(679,2892),-58	G(3053,5138),N(3053,5196,-0.343869)	RS(0,0)
バスタオル2補正X 無し lidar(679,2892),4	G(3053,5138),N(3053,5190,-0.325785)	RS(0,0)	13
バスタオル2補正Y lidar(679,2892),-58	G(3053,5132),N(3053,5190,-0.325785)	RS(0,0)
バスタオル2補正X 無し lidar(679,2892),4	G(3053,5132),N(3053,5184,-0.281946)	RS(0,0)	13
バスタオル2補正Y lidar(679,2892),-58	G(3053,5126),N(3053,5184,-0.281946)	RS(0,0)
バスタオル2補正X 無し lidar(682,2916),4	G(3053,5126),N(3052,5174,-0.211854)	RS(0,0)	13
バスタオル2補正Y lidar(682,2916),-34	G(3053,5140),N(3052,5174,-0.211854)	RS(0,0)
バスタオル2補正X 無し lidar(682,2916),4	G(3053,5140),N(3053,5170,-0.175043)	RS(0,0)	13
バスタオル2補正Y lidar(682,2916),-34	G(3053,5136),N(3053,5170,-0.175043)	RS(0,0)
バスタオル2補正X 無し lidar(687,2932),4	G(3053,5136),N(3053,5167,-0.118304)	RS(0,0)	13
バスタオル2補正Y lidar(687,2932),-18	G(3053,5149),N(3053,5167,-0.118304)	RS(0,0)
バスタオル2補正X 無し lidar(687,2932),4	G(3053,5149),N(3053,5165,-0.077802)	RS(0,0)	13
バスタオル2補正Y lidar(687,2932),-18	G(3053,5147),N(3053,5165,-0.077802)	RS(0,0)
バスタオル2補正X 無し lidar(696,2944),4	G(3053,5147),N(3052,5164,-0.075648)	RS(0,0)	13
バスタオル2補正Y lidar(696,2944),-6	G(3053,5158),N(3052,5164,-0.075648)	RS(0,0)
バスタオル2補正X 無し lidar(696,2944),4	G(3053,5158),N(3052,5165,-0.080872)	RS(0,0)	13
バスタオル2補正Y lidar(696,2944),-6	G(3053,5159),N(3052,5165,-0.080872)	RS(0,0)
バスタオル2補正X 無し lidar(690,2941),4	G(3053,5159),N(3052,5165,-0.080872)	RS(0,0)	13
バスタオル2補正Y lidar(690,2941),-9	G(3053,5156),N(3052,5165,-0.080872)	RS(0,0)
バスタオル2補正X 無し lidar(690,2941),4	G(3053,5156),N(3052,5165,-0.080872)	RS(0,0)	13
バスタオル2補正Y lidar(690,2941),-9	G(3053,5156),N(3052,5165,-0.080872)	RS(0,0)
バスタオル2 lidar(690,2941) RS_Y:0,X:0	now(3052.614746,5165.173828,-0.080872)	14
シーツ補正前 lidar(696,2955) RS_Y:0,X:0	now(3052.614746,5165.173828,-0.080872)	15
バスタオル後下がり待ち lidar(696,2955),4	G(3052,6440),N(3052,5165,-0.080872)	RS(0,0)
バスタオル後下がり待ち lidar(699,2954),4	G(3052,6440),N(3052,5165,-0.080872)	RS(0,0)
バスタオル後下がり待ち lidar(699,2954),4	G(3052,6440),N(3052,5165,-0.080872)	RS(0,0)
バスタオル後下がり待ち lidar(702,2953),4	G(3052,6440),N(3052,5165,-0.080872)	RS(0,0)
バスタオル後下がり待ち lidar(702,2953),4	G(3052,6440),N(3052,5165,-0.080872)	RS(0,0)
バスタオル後下がり待ち lidar(701,2960),4	G(3052,6440),N(3052,5165,-0.080872)	RS(0,0)
バスタオル後下がり待ち lidar(701,2960),4	G(3052,6440),N(3052,5165,-0.080872)	RS(0,0)
バスタオル後下がり待ち lidar(701,2960),4	G(3052,6440),N(3052,5166,-0.081985)	RS(0,0)
バスタオル後下がり待ち lidar(698,2955),4	G(3052,6440),N(3052,5168,-0.089508)	RS(0,0)
バスタオル後下がり待ち lidar(698,2955),4	G(3052,6440),N(3052,5173,-0.118982)	RS(0,0)
バスタオル後下がり待ち lidar(699,2956),4	G(3052,6440),N(3052,5178,-0.125410)	RS(0,0)
