11月16日10時45分	青 予選
シーツ補正Y lidar(3785,1418),-27	G(-3698,6716),N(-3648,6743)	RS(0,0)
シーツリミットまで RS_X:0,50000	G(-3703,6716),N(-3653,6739,-0.024672)	lidar(3796,1438)
シーツ補正Y lidar(3796,1438),-7	G(-3703,6732),N(-3653,6739)	RS(0,0)
シーツリミット左 lidar(3796,1438) RS_Y:0,X:0	now(-3657,6734,-0.038644)
シーツ補正Y lidar(3796,1438),-7	G(-3657,6727),N(-3657,6734)	RS(0,0)
シーツリミット左 lidar(3817,1454) RS_Y:0,X:0	now(-3658,6731,-0.199330)
シーツ補正Y lidar(3817,1454),9	G(-3658,6740),N(-3658,6731)	RS(0,0)
シーツリミット左 lidar(3817,1454) RS_Y:0,X:0	now(-3660,6728,-0.284387)
シーツ補正Y lidar(3817,1454),9	G(-3660,6737),N(-3660,6728)	RS(0,0)
シーツリミット左 lidar(3830,1463) RS_Y:0,X:0	now(-3660,6728,-0.316972)
シーツ補正Y lidar(3830,1463),18	G(-3660,6746),N(-3660,6728)	RS(0,0)
シーツリミット左 lidar(3830,1463) RS_Y:0,X:0	now(-3660,6728,-0.318265)
シーツ補正Y lidar(3830,1463),18	G(-3660,6746),N(-3660,6728)	RS(0,0)
シーツリミット左 lidar(3830,1463) RS_Y:0,X:0	now(-3660,6728,-0.309672)
シーツ補正Y lidar(3830,1463),18	G(-3660,6746),N(-3660,6728)	RS(0,0)
シーツリミット左 lidar(3830,1471) RS_Y:0,X:0	now(-3660,6728,-0.309672)
シーツ補正Y lidar(3830,1471),26	G(-3660,6754),N(-3660,6728)	RS(0,0)
シーツリミット左 lidar(3830,1471) RS_Y:0,X:0	now(-3660,6729,-0.304370)
シーツ補正Y lidar(3830,1471),26	G(-3660,6755),N(-3660,6729)	RS(0,0)
シーツリミット左 lidar(3835,1472) RS_Y:0,X:0	now(-3660,6729,-0.301782)
シーツ補正Y lidar(3835,1472),27	G(-3660,6756),N(-3660,6729)	RS(0,0)
シーツリミット左 lidar(3835,1472) RS_Y:0,X:0	now(-3660,6729,-0.284953)
シーツ補正Y lidar(3835,1472),27	G(-3660,6756),N(-3660,6729)	RS(0,0)
シーツリミット左 lidar(3828,1466) RS_Y:0,X:0	now(-3660,6730,-0.246403)
シーツ補正Y lidar(3828,1466),21	G(-3660,6751),N(-3660,6730)	RS(0,0)
シーツリミット左 lidar(3828,1466) RS_Y:0,X:0	now(-3660,6731,-0.206705)
シーツ補正Y lidar(3828,1466),21	G(-3660,6752),N(-3660,6731)	RS(0,0)
シーツリミット左 lidar(3823,1457) RS_Y:0,X:0	now(-3660,6733,-0.151968)
シーツ補正Y lidar(3823,1457),12	G(-3660,6745),N(-3660,6733)	RS(0,0)
シーツリミット左 lidar(3823,1457) RS_Y:0,X:0	now(-3659,6735,0.021318)
シーツ補正Y lidar(3823,1457),12	G(-3659,6747),N(-3659,6735)	RS(0,0)
シーツリミット左 lidar(3823,1457) RS_Y:0,X:0	now(-3659,6736,0.046002)
シーツ補正Y lidar(3823,1457),12	G(-3659,6748),N(-3659,6736)	RS(0,0)
シーツリミット左 lidar(3821,1452) RS_Y:0,X:0	now(-3659,6736,0.064126)
シーツ補正Y lidar(3821,1452),7	G(-3659,6743),N(-3659,6736)	RS(0,0)
シーツリミット左 lidar(3821,1452) RS_Y:0,X:0	now(-3659,6736,0.064126)
シーツ補正Y lidar(3821,1452),7	G(-3659,6743),N(-3659,6736)	RS(0,0)
シーツリミット左 lidar(3816,1452) RS_Y:0,X:0	now(-3659,6736,0.064808)
シーツ補正Y lidar(3816,1452),7	G(-3659,6743),N(-3659,6736)	RS(0,0)
シーツリミット左 lidar(3816,1452) RS_Y:0,X:0	now(-3659,6736,0.064808)
シーツ補正Y lidar(3816,1452),7	G(-3659,6743),N(-3659,6736)	RS(0,0)
シーツはじめ lidar(3815,1458) now(-3659.460693,6737.112305,0.046188)	RS(0,0)	13
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3659,6736)	lidar(3833,1469)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3659,6736)	lidar(3833,1469)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3659,6736)	lidar(3828,1469)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3659,6735)	lidar(3828,1469)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3659,6735)	lidar(3824,1472)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3659,6735)	lidar(3824,1472)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3659,6735)	lidar(3824,1466)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3659,6735)	lidar(3824,1466)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3659,6735)	lidar(3824,1466)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3659,6735)	lidar(3830,1468)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3659,6735)	lidar(3830,1468)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3659,6735)	lidar(3826,1468)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3657,6736)	lidar(3826,1468)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3656,6736)	lidar(3825,1468)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3655,6735)	lidar(3825,1468)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3650,6735)	lidar(3822,1467)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3646,6735)	lidar(3822,1467)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3640,6736)	lidar(3822,1467)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3633,6737)	lidar(3821,1468)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3618,6738)	lidar(3821,1468)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3610,6738)	lidar(3800,1458)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3602,6738)	lidar(3800,1458)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3593,6739)	lidar(3779,1465)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3575,6739)	lidar(3779,1465)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3566,6740)	lidar(3745,1465)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3556,6740)	lidar(3745,1465)
干し右よけ待ち RS_X:0,50000	G(-1670,6736),N(-3536,6740)	lidar(3745,1465)
